RT	Compound	1	2	3	4	5	6	7	8	
2.15	Asparagine	48.440	24.220	12.110	6.055	1.514	0.378	0.095	0.024	
2.15	Aspartate	51.615	25.808	12.904	6.452	1.613	0.403	0.101	0.025	
2.23	Glutamine	53.644	26.822	13.411	6.705	1.676	0.419	0.105	0.026	
2.24	Serine	48.960	24.480	12.240	6.120	1.530	0.383	0.096	0.024	
2.31	Glycine	77.260	38.630	19.315	9.658	2.414	0.604	0.151	0.038	
2.40	Threonine	59.270	29.635	14.818	7.409	1.852	0.463	0.116	0.029	
2.50	Glutamate	58.530	29.265	14.633	7.316	1.829	0.457	0.114	0.029	
2.57	Alanine	47.590	23.795	11.898	5.949	1.487	0.372	0.093	0.023	
2.70	Proline	50.550	25.275	12.638	6.319	1.580	0.395	0.099	0.025	
3.40	Histidine	50.850	25.425	12.713	6.356	1.589	0.397	0.199	0.050	
3.40	Lysine	44.940	22.470	11.235	5.618	1.404	0.351	0.088	0.022	
3.92	Arginine	51.665	25.833	12.916	6.458	1.615	0.404	0.101	0.025	
4.70	Valine	54.630	27.315	13.658	6.829	1.707	0.427	0.107	0.027	
5.35	Methionine	58.510	29.255	14.628	7.314	1.828	0.457	0.114	0.029	
9.50	Isoleucine	46.655	23.328	11.664	5.832	1.458	0.364	0.091	0.023	
10.20	Tyrosine	48.570	24.285	12.143	6.071	1.518	0.379	0.095	0.024	
10.45	Leucine	43.910	21.955	10.978	5.489	1.372	0.343	0.086	0.022	
16.00	Phenylalanine	56.845	28.423	14.211	7.106	1.776	0.444	0.111	0.028	
19.70	Tryptophan	45.240	22.620	11.310	5.655	1.414	0.353	0.088	0.022	

